iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2020,8.24
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2019,8.27
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2018,7.33
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2017,7.03
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2016,6.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2015,6.57
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2014,6.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2013,6.02
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2012,6.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2011,6.53
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2010,6.67
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2009,8.22
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2008,6.74
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.75
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2006,5.25
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2005,3.74
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2004,3.05
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2003,2.33
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.36
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2001,2.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2000,1.6
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1999,1.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1998,1.72
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1997,1.81
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1996,1.58
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.67
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.62
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1993,0.33
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1992,0.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1991,0.32
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1990,0.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1989,0.33
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1988,0.33
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.0
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.56
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.87
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.8
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2016,3.44
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2015,3.91
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.93
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.65
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2012,5.18
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2011,5.8
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2010,6.46
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2009,7.61
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2008,9.84
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2007,8.78
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2006,10.26
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.47
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.65
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2003,6.06
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.74
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.63
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.5
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.21
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1998,3.17
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.65
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1996,3.48
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.89
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1994,3.44
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1993,3.51
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1992,3.21
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1991,3.11
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1990,3.13
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1989,3.0
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1988,3.16
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1987,3.27
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1986,3.45
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.97
USA-AL,USA-AL,Dollars per Thousand Cubic Feet,$/Mcf,1984,4.03
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2019,4.04
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2018,4.42
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2017,4.7
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2016,4.29
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2015,4.77
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.84
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.99
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2012,5.36
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2011,6.27
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2010,6.76
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2009,7.86
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.88
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2007,8.55
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2006,7.96
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.83
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2004,7.12
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2003,6.07
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2002,5.17
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.11
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.16
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.81
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.94
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.23
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.76
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.32
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.54
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.66
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.6
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.45
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.41
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.47
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.43
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1987,2.51
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.83
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.0
USA-AR,USA-AR,Dollars per Thousand Cubic Feet,$/Mcf,1984,3.0
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.56
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2019,2.62
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.47
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2017,4.36
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2016,4.07
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2015,4.38
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.2
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.73
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2012,4.68
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2011,5.91
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2010,6.59
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2009,7.21
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.49
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2007,8.25
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2006,7.67
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.32
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.63
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.87
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.77
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2001,5.02
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.82
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.72
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.55
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.15
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.78
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.1
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.53
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.62
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.33
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.45
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.73
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.67
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.51
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1987,2.46
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.66
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.54
USA-AZ,USA-AZ,Dollars per Thousand Cubic Feet,$/Mcf,1984,3.94
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2020,3.02
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.1
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.29
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.45
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2016,2.96
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2015,3.27
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2014,4.88
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.18
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2012,3.46
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.47
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.86
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.17
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.11
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.82
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.76
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2005,7.88
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.04
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.16
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.2
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2001,6.64
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,2000,4.32
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.61
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.38
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.98
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.59
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.03
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.57
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.85
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.72
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.8
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.9
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.75
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.6
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1987,2.39
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.76
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.54
USA-CA,USA-CA,Dollars per Thousand Cubic Feet,$/Mcf,1984,3.97
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2020,2.81
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2019,3.38
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2018,3.63
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2017,3.9
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2016,3.56
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2015,3.98
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.42
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2013,4.76
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2012,4.26
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2011,4.94
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2010,5.26
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2009,5.09
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2008,6.98
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2007,6.23
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2006,7.61
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2005,6.1
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.02
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.11
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2002,2.72
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.25
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.53
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.31
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.4
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.92
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.7
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.65
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1994,3.31
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.95
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.85
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.85
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.94
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.96
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1988,3.07
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1987,3.15
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1986,3.35
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1985,3.55
USA-CO,USA-CO,Dollars per Thousand Cubic Feet,$/Mcf,1984,3.81
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2019,5.36
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2018,5.55
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2017,4.44
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2016,3.57
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2015,4.07
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.61
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2013,5.42
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2012,5.12
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2011,5.92
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2010,6.58
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2009,6.81
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2008,10.24
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2007,8.67
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2006,9.11
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2005,9.67
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2004,7.56
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.59
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2002,6.42
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2001,8.12
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,2000,6.73
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1999,4.91
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1998,5.06
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1997,5.11
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1996,5.11
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1995,4.7
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1994,4.17
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1993,3.87
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1992,3.73
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1991,3.5
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1990,3.66
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1989,3.46
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1988,3.27
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1987,3.16
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1986,3.67
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1985,4.2
USA-CT,USA-CT,Dollars per Thousand Cubic Feet,$/Mcf,1984,4.15
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2019,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2018,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2017,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2016,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2015,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2014,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2013,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2012,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2011,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2010,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2009,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2008,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2007,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2006,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2005,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2004,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2003,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2002,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2001,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,2000,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1999,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1998,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1997,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1996,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1995,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1994,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1993,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1992,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1991,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1990,
USA-DC,USA-DC,Dollars per Thousand Cubic Feet,$/Mcf,1989,
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2020,
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2019,5.71
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2018,5.59
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2017,5.6
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2016,4.91
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2015,5.87
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2014,5.54
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2013,5.67
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2012,7.19
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2011,9.03
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2010,5.67
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2009,6.54
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.32
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.58
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2006,8.84
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.32
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2004,6.13
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2003,5.88
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2002,5.37
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2001,5.16
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.41
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.45
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1998,3.02
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.53
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1996,3.68
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.7
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.95
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1993,3.24
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.83
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.54
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.76
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.82
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.88
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1987,2.6
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1986,3.24
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1985,4.04
USA-DE,USA-DE,Dollars per Thousand Cubic Feet,$/Mcf,1984,4.2
USA-FL,USA-FL,Dollars per Thousand Cubic Feet,$/Mcf,2020,
