iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201903,3.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201902,6.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201901,8.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201812,8.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201811,2.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201810,2.0
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201809,1.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201808,1.42
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201807,1.31
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,1.01
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201805,1.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201804,2.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201803,2.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201802,12.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201801,10.87
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201712,4.31
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201711,1.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201710,1.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201709,0.82
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201708,0.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201707,1.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201706,1.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201705,1.86
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201704,1.76
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201703,1.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201702,6.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201701,10.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201612,3.24
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201611,0.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201610,0.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201609,1.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201608,1.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201607,1.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201606,0.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201605,1.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201604,1.05
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201603,1.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201602,3.27
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201601,5.41
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201512,3.78
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201511,3.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201510,1.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201509,1.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201508,0.52
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201507,0.45
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201506,0.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201505,0.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201504,2.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201503,8.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201502,9.12
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201501,8.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201412,12.43
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201411,4.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201410,1.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201409,4.76
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201408,6.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201407,6.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201406,9.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201405,6.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201404,8.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201403,17.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201402,34.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201401,24.14
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202102,5.83
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202101,5.41
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202012,3.86
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202011,3.86
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202010,2.27
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202009,2.26
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202008,2.39
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202007,2.24
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202006,2.13
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202005,2.37
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202004,2.27
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202003,2.92
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202002,3.99
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,202001,7.16
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201912,5.8
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201911,4.52
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201910,2.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201909,0.36
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201908,0.61
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201907,0.68
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201906,0.85
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201905,0.94
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201904,1.57
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201903,3.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201902,6.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201901,8.08
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201812,8.23
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201811,2.22
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201810,2.0
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201809,1.48
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201808,1.42
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201807,1.31
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201806,1.01
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201805,1.19
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201804,2.69
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201803,2.03
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201802,12.03
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201801,10.87
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201712,4.31
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201711,1.17
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201710,1.06
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201709,0.82
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201708,0.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201707,1.19
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201706,1.64
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201705,1.86
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201704,1.76
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201703,1.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201702,6.07
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201701,10.64
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201612,3.24
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201611,0.97
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201610,0.72
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201609,1.22
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201608,1.2
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201607,1.62
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201606,0.63
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201605,1.1
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201604,1.05
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201603,1.54
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201602,3.27
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201601,5.41
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201512,3.78
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201511,3.02
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201510,1.99
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201509,1.14
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201508,0.52
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201507,0.45
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201506,0.79
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201505,0.88
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201504,2.02
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201503,8.55
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201502,9.12
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201501,8.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201412,12.43
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201411,4.18
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201410,1.96
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201409,4.76
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201408,6.95
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201407,6.44
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201406,9.03
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201405,6.95
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201404,8.91
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201403,17.17
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201402,34.22
CAN,CAN,Dollars per Thousand Cubic Feet,$/Mcf,201401,24.14
