iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,-6298.0
USA,USA,Billion Cubic Feet,Bcf,2018,4438.0
USA,USA,Billion Cubic Feet,Bcf,2017,10494.0
USA,USA,Billion Cubic Feet,Bcf,2016,12196.0
USA,USA,Billion Cubic Feet,Bcf,2015,12222.0
USA,USA,Billion Cubic Feet,Bcf,2014,12113.0
USA,USA,Billion Cubic Feet,Bcf,2013,4855.0
USA,USA,Billion Cubic Feet,Bcf,2012,526.0
USA,USA,Billion Cubic Feet,Bcf,2011,1584.0
USA,USA,Billion Cubic Feet,Bcf,2010,7579.0
USA,USA,Billion Cubic Feet,Bcf,2009,1690.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,-25.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,33.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,-740.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,-11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,-1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,22.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,-2109.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,-860.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,7290.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,440.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,1339.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,57.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,70.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,241.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,-172.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2010,2347.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2009,131.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,-168.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,-63.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,-28.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,12.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,91.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,2.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2019,-1173.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2018,-137.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2017,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2016,3400.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2015,268.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2014,106.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2013,7.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2012,28.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2011,66.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2010,3.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2009,10.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2019,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2018,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2017,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2016,-56.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2015,-9.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2014,7.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2013,11.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2012,17.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2011,3.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2010,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2009,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,-177.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,191.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,-77.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,96.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,150.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,129.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,315.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,47.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,8.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,5.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,-301.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,331.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,132.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,477.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,-187.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,79.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,40.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,494.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,237.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,6.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,310.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,-244.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,47.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,22.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,53.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,35.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,-3.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,1.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,1.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,255.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,-477.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,-40.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,171.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,29.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,11.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,592.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,300.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,185.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,53.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,-692.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,-230.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,-245.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,747.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,829.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,261.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,-70.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,-516.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,233.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,105.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,657.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,-1001.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,2377.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,2126.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,456.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,103.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,-586.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,564.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,-225.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,26.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,1968.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,40.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,40.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,215.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,-143.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,-123.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,9.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,-258.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,-106.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,567.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,-193.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,267.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2009,56.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,239.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,-613.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,166.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,3314.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,-43.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,231.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,-1.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,1.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2011,-1.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2010,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,-13.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,23.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,3.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,8.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,-3.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2014,123.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2013,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2012,0.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2019,-893.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2018,1250.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2017,361.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2016,4353.0
USA-TX,USA-TX,Billion Cubic Feet,Bcf,2015,-24.0
