iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,7335790
USA,USA,Million Cubic Feet,MMcf,2018,7194582
USA,USA,Million Cubic Feet,MMcf,2017,6768533
USA,USA,Million Cubic Feet,MMcf,2016,6578240
USA,USA,Million Cubic Feet,MMcf,2015,6409025
USA,USA,Million Cubic Feet,MMcf,2014,6509864
USA,USA,Million Cubic Feet,MMcf,2013,6194960
USA,USA,Million Cubic Feet,MMcf,2012,6055805
USA,USA,Million Cubic Feet,MMcf,2011,5856115
USA,USA,Million Cubic Feet,MMcf,2010,5651037
USA,USA,Million Cubic Feet,MMcf,2009,5008265
USA,USA,Million Cubic Feet,MMcf,2008,5307954
USA,USA,Million Cubic Feet,MMcf,2007,5178329
USA,USA,Million Cubic Feet,MMcf,2006,4986888
USA,USA,Million Cubic Feet,MMcf,2005,5010572
USA,USA,Million Cubic Feet,MMcf,2004,5528981
USA,USA,Million Cubic Feet,MMcf,2003,5568750
USA,USA,Million Cubic Feet,MMcf,2002,5802752
USA,USA,Million Cubic Feet,MMcf,2001,5813726
USA,USA,Million Cubic Feet,MMcf,2000,6529240
USA,USA,Million Cubic Feet,MMcf,1999,6564492
USA,USA,Million Cubic Feet,MMcf,1998,6984012
USA,USA,Million Cubic Feet,MMcf,1997,6969318
USA,USA,Million Cubic Feet,MMcf,1996,7151885
USA,USA,Million Cubic Feet,MMcf,1995,6517352
USA,USA,Million Cubic Feet,MMcf,1994,6112919
USA,USA,Million Cubic Feet,MMcf,1993,5644894
USA,USA,Million Cubic Feet,MMcf,1992,5248609
USA,USA,Million Cubic Feet,MMcf,1991,4863923
USA,USA,Million Cubic Feet,MMcf,1990,4544535
USA,USA,Million Cubic Feet,MMcf,1989,4297693
USA,USA,Million Cubic Feet,MMcf,1988,3663187
USA,USA,Million Cubic Feet,MMcf,1987,3128899
USA,USA,Million Cubic Feet,MMcf,1986,2240381
USA,USA,Million Cubic Feet,MMcf,1985,1839611
USA,USA,Million Cubic Feet,MMcf,1984,1559503
USA,USA,Million Cubic Feet,MMcf,1983,1087737
USA,USA,Million Cubic Feet,MMcf,1982,867124
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,10010
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,3698
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,2657
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,1893
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,1827
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,1304
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,5934
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,11619
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,16582
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,15472
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,11433
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,6411
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,2539
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,150
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,661
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,473
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,1609
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,27026
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,31112
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,25523
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,22258
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,24455
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,23363
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,28165
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,26605
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,30824
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,18100
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,19257
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,20493
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,19293
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,20131
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,18753
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,166132
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,166128
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,145136
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,145118
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,143569
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,143849
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,137103
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,133765
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,117277
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,109031
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,94597
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,103662
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,114325
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,114699
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,115449
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,129337
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,124857
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,125467
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,120717
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,155042
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,159663
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,152823
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,151727
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,155962
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,156374
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,132073
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,131817
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,118457
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,106274
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,96889
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,93168
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,70229
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,51415
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,27643
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,26554
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,17656
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,17518
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,28602
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,103589
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,105097
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,98839
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,86599
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,83837
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,87179
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,85595
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,80090
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,83671
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,80722
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,74752
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,81841
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,82213
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,83347
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,84177
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,94613
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,105215
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,112544
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,114976
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,119594
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,123436
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,127614
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,129379
USA-AR,USA-AR,Million Cubic Feet,MMcf,1996,122937
USA-AR,USA-AR,Million Cubic Feet,MMcf,1995,119716
USA-AR,USA-AR,Million Cubic Feet,MMcf,1994,115461
USA-AR,USA-AR,Million Cubic Feet,MMcf,1993,102902
USA-AR,USA-AR,Million Cubic Feet,MMcf,1992,102468
USA-AR,USA-AR,Million Cubic Feet,MMcf,1991,84515
USA-AR,USA-AR,Million Cubic Feet,MMcf,1990,93332
USA-AR,USA-AR,Million Cubic Feet,MMcf,1989,104237
USA-AR,USA-AR,Million Cubic Feet,MMcf,1988,79343
USA-AR,USA-AR,Million Cubic Feet,MMcf,1987,29024
USA-AR,USA-AR,Million Cubic Feet,MMcf,1986,48694
USA-AR,USA-AR,Million Cubic Feet,MMcf,1985,29546
USA-AR,USA-AR,Million Cubic Feet,MMcf,1984,15960
USA-AR,USA-AR,Million Cubic Feet,MMcf,1983,3778
USA-AR,USA-AR,Million Cubic Feet,MMcf,1982,4177
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,15239
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,16411
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,16584
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,16628
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,17185
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,19612
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,18486
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,17800
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,16469
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,14343
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,12730
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,14200
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,13292
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,11457
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,9569
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,9290
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,9174
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,10089
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,11380
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,15534
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,17238
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,18740
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,20873
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1996,21670
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1995,20825
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1994,18035
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1993,15868
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1992,13925
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1991,9966
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1990,10421
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1989,11478
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1988,17155
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1987,10640
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1986,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1985,1428
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1984,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1983,0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1982,0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,735748
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,735230
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,728926
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,744005
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,747210
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,759369
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,744986
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,704680
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,674420
USA-CA,USA-CA,Million Cubic Feet,MMcf,2010,671372
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,673034
USA-CA,USA-CA,Million Cubic Feet,MMcf,2008,683512
USA-CA,USA-CA,Million Cubic Feet,MMcf,2007,699283
USA-CA,USA-CA,Million Cubic Feet,MMcf,2006,690491
USA-CA,USA-CA,Million Cubic Feet,MMcf,2005,738704
USA-CA,USA-CA,Million Cubic Feet,MMcf,2004,791981
USA-CA,USA-CA,Million Cubic Feet,MMcf,2003,740589
USA-CA,USA-CA,Million Cubic Feet,MMcf,2002,682886
USA-CA,USA-CA,Million Cubic Feet,MMcf,2001,606097
USA-CA,USA-CA,Million Cubic Feet,MMcf,2000,708289
USA-CA,USA-CA,Million Cubic Feet,MMcf,1999,632097
USA-CA,USA-CA,Million Cubic Feet,MMcf,1998,668350
USA-CA,USA-CA,Million Cubic Feet,MMcf,1997,654775
USA-CA,USA-CA,Million Cubic Feet,MMcf,1996,622182
USA-CA,USA-CA,Million Cubic Feet,MMcf,1995,604196
USA-CA,USA-CA,Million Cubic Feet,MMcf,1994,537503
USA-CA,USA-CA,Million Cubic Feet,MMcf,1993,485326
USA-CA,USA-CA,Million Cubic Feet,MMcf,1992,430836
USA-CA,USA-CA,Million Cubic Feet,MMcf,1991,422738
USA-CA,USA-CA,Million Cubic Feet,MMcf,1990,346643
USA-CA,USA-CA,Million Cubic Feet,MMcf,1989,283611
USA-CA,USA-CA,Million Cubic Feet,MMcf,1988,171228
USA-CA,USA-CA,Million Cubic Feet,MMcf,1987,263991
USA-CA,USA-CA,Million Cubic Feet,MMcf,1986,68982
USA-CA,USA-CA,Million Cubic Feet,MMcf,1985,23762
USA-CA,USA-CA,Million Cubic Feet,MMcf,1984,23185
USA-CA,USA-CA,Million Cubic Feet,MMcf,1983,1065
USA-CA,USA-CA,Million Cubic Feet,MMcf,1982,0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,84137
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,82120
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,78838
USA-CO,USA-CO,Million Cubic Feet,MMcf,2016,74391
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,72170
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,72330
USA-CO,USA-CO,Million Cubic Feet,MMcf,2013,72659
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,68042
USA-CO,USA-CO,Million Cubic Feet,MMcf,2011,68813
USA-CO,USA-CO,Million Cubic Feet,MMcf,2010,108317
USA-CO,USA-CO,Million Cubic Feet,MMcf,2009,112995
USA-CO,USA-CO,Million Cubic Feet,MMcf,2008,119032
USA-CO,USA-CO,Million Cubic Feet,MMcf,2007,116699
USA-CO,USA-CO,Million Cubic Feet,MMcf,2006,110565
USA-CO,USA-CO,Million Cubic Feet,MMcf,2005,125618
USA-CO,USA-CO,Million Cubic Feet,MMcf,2004,111316
USA-CO,USA-CO,Million Cubic Feet,MMcf,2003,111291
USA-CO,USA-CO,Million Cubic Feet,MMcf,2002,128709
USA-CO,USA-CO,Million Cubic Feet,MMcf,2001,136704
USA-CO,USA-CO,Million Cubic Feet,MMcf,2000,79356
USA-CO,USA-CO,Million Cubic Feet,MMcf,1999,70344
USA-CO,USA-CO,Million Cubic Feet,MMcf,1998,76652
USA-CO,USA-CO,Million Cubic Feet,MMcf,1997,56338
USA-CO,USA-CO,Million Cubic Feet,MMcf,1996,65641
USA-CO,USA-CO,Million Cubic Feet,MMcf,1995,55143
USA-CO,USA-CO,Million Cubic Feet,MMcf,1994,51292
USA-CO,USA-CO,Million Cubic Feet,MMcf,1993,44465
USA-CO,USA-CO,Million Cubic Feet,MMcf,1992,39040
USA-CO,USA-CO,Million Cubic Feet,MMcf,1991,36685
USA-CO,USA-CO,Million Cubic Feet,MMcf,1990,33799
USA-CO,USA-CO,Million Cubic Feet,MMcf,1989,29106
USA-CO,USA-CO,Million Cubic Feet,MMcf,1988,23309
USA-CO,USA-CO,Million Cubic Feet,MMcf,1987,13491
USA-CO,USA-CO,Million Cubic Feet,MMcf,1986,10921
USA-CO,USA-CO,Million Cubic Feet,MMcf,1985,4717
USA-CO,USA-CO,Million Cubic Feet,MMcf,1984,476
USA-CO,USA-CO,Million Cubic Feet,MMcf,1983,124
USA-CO,USA-CO,Million Cubic Feet,MMcf,1982,0
USA-CT,USA-CT,Million Cubic Feet,MMcf,2019,11975
USA-CT,USA-CT,Million Cubic Feet,MMcf,2018,11833
USA-CT,USA-CT,Million Cubic Feet,MMcf,2017,12174
USA-CT,USA-CT,Million Cubic Feet,MMcf,2016,12383
USA-CT,USA-CT,Million Cubic Feet,MMcf,2015,13489
USA-CT,USA-CT,Million Cubic Feet,MMcf,2014,17200
USA-CT,USA-CT,Million Cubic Feet,MMcf,2013,19949
USA-CT,USA-CT,Million Cubic Feet,MMcf,2012,18233
USA-CT,USA-CT,Million Cubic Feet,MMcf,2011,18120
USA-CT,USA-CT,Million Cubic Feet,MMcf,2010,16605
USA-CT,USA-CT,Million Cubic Feet,MMcf,2009,15371
USA-CT,USA-CT,Million Cubic Feet,MMcf,2008,11883
USA-CT,USA-CT,Million Cubic Feet,MMcf,2007,11387
USA-CT,USA-CT,Million Cubic Feet,MMcf,2006,11152
USA-CT,USA-CT,Million Cubic Feet,MMcf,2005,10969
USA-CT,USA-CT,Million Cubic Feet,MMcf,2004,11498
USA-CT,USA-CT,Million Cubic Feet,MMcf,2003,12877
USA-CT,USA-CT,Million Cubic Feet,MMcf,2002,14844
USA-CT,USA-CT,Million Cubic Feet,MMcf,2001,11781
USA-CT,USA-CT,Million Cubic Feet,MMcf,2000,16956
USA-CT,USA-CT,Million Cubic Feet,MMcf,1999,14156
USA-CT,USA-CT,Million Cubic Feet,MMcf,1998,14359
USA-CT,USA-CT,Million Cubic Feet,MMcf,1997,11597
USA-CT,USA-CT,Million Cubic Feet,MMcf,1996,5008
USA-CT,USA-CT,Million Cubic Feet,MMcf,1995,4130
USA-CT,USA-CT,Million Cubic Feet,MMcf,1994,1435
USA-CT,USA-CT,Million Cubic Feet,MMcf,1993,10164
USA-CT,USA-CT,Million Cubic Feet,MMcf,1992,12514
USA-CT,USA-CT,Million Cubic Feet,MMcf,1991,10370
USA-CT,USA-CT,Million Cubic Feet,MMcf,1990,3572
USA-CT,USA-CT,Million Cubic Feet,MMcf,1989,1681
USA-CT,USA-CT,Million Cubic Feet,MMcf,1988,453
USA-CT,USA-CT,Million Cubic Feet,MMcf,1987,137
USA-CT,USA-CT,Million Cubic Feet,MMcf,1986,12
USA-CT,USA-CT,Million Cubic Feet,MMcf,1985,0
USA-CT,USA-CT,Million Cubic Feet,MMcf,1984,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,2019,33751
USA-DE,USA-DE,Million Cubic Feet,MMcf,2018,30671
USA-DE,USA-DE,Million Cubic Feet,MMcf,2017,29759
USA-DE,USA-DE,Million Cubic Feet,MMcf,2016,31377
USA-DE,USA-DE,Million Cubic Feet,MMcf,2015,33028
USA-DE,USA-DE,Million Cubic Feet,MMcf,2014,30899
USA-DE,USA-DE,Million Cubic Feet,MMcf,2013,32057
USA-DE,USA-DE,Million Cubic Feet,MMcf,2012,28644
USA-DE,USA-DE,Million Cubic Feet,MMcf,2011,19436
USA-DE,USA-DE,Million Cubic Feet,MMcf,2010,7560
USA-DE,USA-DE,Million Cubic Feet,MMcf,2009,17034
USA-DE,USA-DE,Million Cubic Feet,MMcf,2008,17158
USA-DE,USA-DE,Million Cubic Feet,MMcf,2007,14449
USA-DE,USA-DE,Million Cubic Feet,MMcf,2006,14919
USA-DE,USA-DE,Million Cubic Feet,MMcf,2005,13394
USA-DE,USA-DE,Million Cubic Feet,MMcf,2004,14149
USA-DE,USA-DE,Million Cubic Feet,MMcf,2003,12810
USA-DE,USA-DE,Million Cubic Feet,MMcf,2002,15272
USA-DE,USA-DE,Million Cubic Feet,MMcf,2001,16831
USA-DE,USA-DE,Million Cubic Feet,MMcf,2000,22638
USA-DE,USA-DE,Million Cubic Feet,MMcf,1999,17567
USA-DE,USA-DE,Million Cubic Feet,MMcf,1998,12633
USA-DE,USA-DE,Million Cubic Feet,MMcf,1997,10223
USA-DE,USA-DE,Million Cubic Feet,MMcf,1996,8882
USA-DE,USA-DE,Million Cubic Feet,MMcf,1995,6281
USA-DE,USA-DE,Million Cubic Feet,MMcf,1994,5631
USA-DE,USA-DE,Million Cubic Feet,MMcf,1993,4922
USA-DE,USA-DE,Million Cubic Feet,MMcf,1992,6316
USA-DE,USA-DE,Million Cubic Feet,MMcf,1991,5509
USA-DE,USA-DE,Million Cubic Feet,MMcf,1990,4847
USA-DE,USA-DE,Million Cubic Feet,MMcf,1989,3682
USA-DE,USA-DE,Million Cubic Feet,MMcf,1988,3089
USA-DE,USA-DE,Million Cubic Feet,MMcf,1987,2954
USA-DE,USA-DE,Million Cubic Feet,MMcf,1986,5068
USA-DE,USA-DE,Million Cubic Feet,MMcf,1985,5921
USA-DE,USA-DE,Million Cubic Feet,MMcf,1984,2698
USA-DE,USA-DE,Million Cubic Feet,MMcf,1983,0
USA-DE,USA-DE,Million Cubic Feet,MMcf,1982,0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2019,115763
USA-FL,USA-FL,Million Cubic Feet,MMcf,2018,104305
USA-FL,USA-FL,Million Cubic Feet,MMcf,2017,99898
USA-FL,USA-FL,Million Cubic Feet,MMcf,2016,100181
USA-FL,USA-FL,Million Cubic Feet,MMcf,2015,92888
USA-FL,USA-FL,Million Cubic Feet,MMcf,2014,91213
USA-FL,USA-FL,Million Cubic Feet,MMcf,2013,94688
USA-FL,USA-FL,Million Cubic Feet,MMcf,2012,95481
USA-FL,USA-FL,Million Cubic Feet,MMcf,2011,82885
USA-FL,USA-FL,Million Cubic Feet,MMcf,2010,74213
USA-FL,USA-FL,Million Cubic Feet,MMcf,2009,63383
USA-FL,USA-FL,Million Cubic Feet,MMcf,2008,66256
USA-FL,USA-FL,Million Cubic Feet,MMcf,2007,64393
USA-FL,USA-FL,Million Cubic Feet,MMcf,2006,67567
USA-FL,USA-FL,Million Cubic Feet,MMcf,2005,60973
USA-FL,USA-FL,Million Cubic Feet,MMcf,2004,61251
USA-FL,USA-FL,Million Cubic Feet,MMcf,2003,70510
USA-FL,USA-FL,Million Cubic Feet,MMcf,2002,80364
USA-FL,USA-FL,Million Cubic Feet,MMcf,2001,91146
USA-FL,USA-FL,Million Cubic Feet,MMcf,2000,99211
USA-FL,USA-FL,Million Cubic Feet,MMcf,1999,127544
USA-FL,USA-FL,Million Cubic Feet,MMcf,1998,113073
USA-FL,USA-FL,Million Cubic Feet,MMcf,1997,112051
USA-FL,USA-FL,Million Cubic Feet,MMcf,1996,119191
USA-FL,USA-FL,Million Cubic Feet,MMcf,1995,112361
USA-FL,USA-FL,Million Cubic Feet,MMcf,1994,106166
USA-FL,USA-FL,Million Cubic Feet,MMcf,1993,73610
USA-FL,USA-FL,Million Cubic Feet,MMcf,1992,56893
USA-FL,USA-FL,Million Cubic Feet,MMcf,1991,49468
USA-FL,USA-FL,Million Cubic Feet,MMcf,1990,34996
USA-FL,USA-FL,Million Cubic Feet,MMcf,1989,19078
USA-FL,USA-FL,Million Cubic Feet,MMcf,1988,18054
USA-FL,USA-FL,Million Cubic Feet,MMcf,1987,5241
USA-FL,USA-FL,Million Cubic Feet,MMcf,1986,3211
USA-FL,USA-FL,Million Cubic Feet,MMcf,1985,4575
USA-FL,USA-FL,Million Cubic Feet,MMcf,1984,3025
USA-FL,USA-FL,Million Cubic Feet,MMcf,1983,5154
USA-FL,USA-FL,Million Cubic Feet,MMcf,1982,7322
USA-GA,USA-GA,Million Cubic Feet,MMcf,2019,116678
USA-GA,USA-GA,Million Cubic Feet,MMcf,2018,118633
USA-GA,USA-GA,Million Cubic Feet,MMcf,2017,111600
USA-GA,USA-GA,Million Cubic Feet,MMcf,2016,118772
USA-GA,USA-GA,Million Cubic Feet,MMcf,2015,124733
USA-GA,USA-GA,Million Cubic Feet,MMcf,2014,128672
USA-GA,USA-GA,Million Cubic Feet,MMcf,2013,128062
USA-GA,USA-GA,Million Cubic Feet,MMcf,2012,117147
USA-GA,USA-GA,Million Cubic Feet,MMcf,2011,118563
USA-GA,USA-GA,Million Cubic Feet,MMcf,2010,120114
USA-GA,USA-GA,Million Cubic Feet,MMcf,2009,115572
USA-GA,USA-GA,Million Cubic Feet,MMcf,2008,126503
USA-GA,USA-GA,Million Cubic Feet,MMcf,2007,126340
USA-GA,USA-GA,Million Cubic Feet,MMcf,2006,132527
USA-GA,USA-GA,Million Cubic Feet,MMcf,2005,129439
USA-GA,USA-GA,Million Cubic Feet,MMcf,2004,134175
USA-GA,USA-GA,Million Cubic Feet,MMcf,2003,133984
USA-GA,USA-GA,Million Cubic Feet,MMcf,2002,115662
USA-GA,USA-GA,Million Cubic Feet,MMcf,2001,110451
USA-GA,USA-GA,Million Cubic Feet,MMcf,2000,132620
USA-GA,USA-GA,Million Cubic Feet,MMcf,1999,117115
USA-GA,USA-GA,Million Cubic Feet,MMcf,1998,122918
USA-GA,USA-GA,Million Cubic Feet,MMcf,1997,128111
USA-GA,USA-GA,Million Cubic Feet,MMcf,1996,123193
USA-GA,USA-GA,Million Cubic Feet,MMcf,1995,118125
USA-GA,USA-GA,Million Cubic Feet,MMcf,1994,108859
USA-GA,USA-GA,Million Cubic Feet,MMcf,1993,112491
USA-GA,USA-GA,Million Cubic Feet,MMcf,1992,111987
USA-GA,USA-GA,Million Cubic Feet,MMcf,1991,105563
USA-GA,USA-GA,Million Cubic Feet,MMcf,1990,101295
USA-GA,USA-GA,Million Cubic Feet,MMcf,1989,97521
USA-GA,USA-GA,Million Cubic Feet,MMcf,1988,80806
USA-GA,USA-GA,Million Cubic Feet,MMcf,1987,56045
USA-GA,USA-GA,Million Cubic Feet,MMcf,1986,31472
USA-GA,USA-GA,Million Cubic Feet,MMcf,1985,11080
USA-GA,USA-GA,Million Cubic Feet,MMcf,1984,0
USA-IA,USA-IA,Million Cubic Feet,MMcf,2019,242416
USA-IA,USA-IA,Million Cubic Feet,MMcf,2018,249255
USA-IA,USA-IA,Million Cubic Feet,MMcf,2017,234060
USA-IA,USA-IA,Million Cubic Feet,MMcf,2016,182933
USA-IA,USA-IA,Million Cubic Feet,MMcf,2015,172481
USA-IA,USA-IA,Million Cubic Feet,MMcf,2014,164957
USA-IA,USA-IA,Million Cubic Feet,MMcf,2013,163807
USA-IA,USA-IA,Million Cubic Feet,MMcf,2012,160189
USA-IA,USA-IA,Million Cubic Feet,MMcf,2011,158015
USA-IA,USA-IA,Million Cubic Feet,MMcf,2010,157696
USA-IA,USA-IA,Million Cubic Feet,MMcf,2009,154020
USA-IA,USA-IA,Million Cubic Feet,MMcf,2008,151722
USA-IA,USA-IA,Million Cubic Feet,MMcf,2007,131703
